Attention,Mediation,Raw,Delta,Theta,Alpha1,Alpha2,Beta1,Beta2,Gamma1,Gamma2,user-definedlabeln
56.00,43.00,278.00,301963.00,90612.00,33735.00,23991.00,27946.00,45097.00,33228.00,8293.00,0
40.00,35.00,-50.00,73787.00,28083.00,1439.00,2240.00,2746.00,3687.00,5293.00,2740.00,0
47.00,48.00,101.00,758353.00,383745.00,201999.00,62107.00,36293.00,130536.00,57243.00,25354.00,0
47.00,57.00,-5.00,2012240.00,129350.00,61236.00,17084.00,11488.00,62462.00,49960.00,33932.00,0
44.00,53.00,-8.00,1005145.00,354328.00,37102.00,88881.00,45307.00,99603.00,44790.00,29749.00,0
44.00,66.00,73.00,1786446.00,176766.00,59352.00,26157.00,15054.00,33669.00,33782.00,31750.00,0
43.00,69.00,130.00,635191.00,122446.00,90107.00,65072.00,36230.00,53019.00,62938.00,59307.00,0
40.00,61.00,-2.00,161098.00,12119.00,1963.00,809.00,1277.00,3186.00,3266.00,2518.00,0
43.00,69.00,17.00,492796.00,120998.00,63697.00,68242.00,10769.00,88403.00,73756.00,22676.00,0
47.00,69.00,-59.00,82048.00,116131.00,47317.00,26197.00,41642.00,28866.00,32551.00,41810.00,0
48.00,38.00,-14.00,757165.00,186196.00,3242.00,3841.00,18854.00,43021.00,46799.00,11928.00,0
44.00,48.00,72.00,667513.00,141854.00,75050.00,16234.00,45926.00,34496.00,74875.00,31839.00,0
47.00,34.00,121.00,165360.00,42119.00,3158.00,6256.00,7270.00,19462.00,10984.00,8148.00,0
48.00,30.00,-52.00,737665.00,84275.00,2235.00,38748.00,21705.00,28343.00,80927.00,24735.00,0
47.00,48.00,69.00,577024.00,179555.00,25937.00,21604.00,43790.00,44432.00,69203.00,25586.00,0
57.00,43.00,44.00,234964.00,80944.00,7991.00,32568.00,11828.00,63682.00,41013.00,18147.00,0
57.00,40.00,144.00,671467.00,133227.00,7142.00,14300.00,23373.00,65591.00,47860.00,16501.00,0
70.00,40.00,25.00,33290.00,14729.00,10980.00,10407.00,14316.00,37112.00,60378.00,36306.00,0
74.00,44.00,-138.00,1025416.00,268122.00,67285.00,36996.00,10083.00,80826.00,90350.00,26345.00,0
67.00,53.00,25.00,756442.00,97387.00,59785.00,32241.00,16122.00,53157.00,44602.00,14331.00,0
70.00,66.00,124.00,87109.00,7200.00,4987.00,2817.00,2130.00,11413.00,9422.00,4922.00,0
57.00,53.00,43.00,802937.00,83858.00,3229.00,7895.00,27104.00,17791.00,18901.00,12191.00,0
53.00,51.00,35.00,157687.00,283941.00,27259.00,47930.00,15132.00,38238.00,31599.00,10121.00,0
41.00,50.00,119.00,613031.00,758257.00,246386.00,132015.00,26636.00,83848.00,94542.00,56127.00,0
27.00,37.00,37.00,603204.00,47342.00,3215.00,2811.00,1863.00,7210.00,7875.00,1523.00,0
29.00,50.00,102.00,234796.00,182944.00,53997.00,31259.00,19633.00,67149.00,29367.00,21433.00,0
30.00,35.00,24.00,188099.00,144504.00,3546.00,5541.00,16381.00,22364.00,14698.00,7338.00,0
37.00,21.00,-51.00,632782.00,162376.00,12692.00,3991.00,5848.00,23018.00,22561.00,9851.00,0
30.00,41.00,61.00,477853.00,264240.00,217609.00,76443.00,22228.00,38904.00,66985.00,42550.00,0
26.00,43.00,290.00,731447.00,69065.00,23286.00,9017.00,4767.00,12942.00,18230.00,2111.00,0
20.00,56.00,-21.00,1099119.00,673426.00,74729.00,93214.00,67019.00,50197.00,88444.00,30954.00,0
20.00,67.00,4.00,1969931.00,185293.00,41196.00,21801.00,7827.00,35523.00,22243.00,23871.00,0
35.00,48.00,-156.00,1363838.00,316172.00,61645.00,18496.00,186966.00,171258.00,60131.00,18933.00,0
48.00,48.00,-22.00,637681.00,30439.00,21521.00,10035.00,12856.00,52824.00,20595.00,17686.00,0
63.00,51.00,3.00,423411.00,128048.00,70321.00,5490.00,22889.00,70927.00,22724.00,7383.00,0
61.00,53.00,0.00,585120.00,237694.00,71643.00,47282.00,58807.00,37566.00,50029.00,27424.00,0
54.00,67.00,186.00,1103969.00,83627.00,68911.00,12218.00,44447.00,32024.00,86928.00,33393.00,0
51.00,50.00,40.00,480086.00,206751.00,11652.00,5005.00,7894.00,121856.00,47858.00,6963.00,0
57.00,50.00,88.00,48448.00,6377.00,2890.00,4667.00,4016.00,10351.00,9810.00,2278.00,0
69.00,56.00,26.00,9313.00,15189.00,17884.00,17607.00,11743.00,24911.00,12283.00,22119.00,0
80.00,54.00,-7.00,252800.00,41805.00,23580.00,18972.00,15411.00,52067.00,28635.00,10415.00,0
67.00,51.00,91.00,195366.00,65596.00,512.00,2607.00,6602.00,9152.00,12054.00,6335.00,0
69.00,47.00,80.00,18403.00,26289.00,2162.00,15904.00,24282.00,45184.00,16441.00,13761.00,0
77.00,34.00,39.00,11723.00,35281.00,6055.00,12533.00,24186.00,54639.00,21382.00,9906.00,0
66.00,43.00,10.00,233282.00,30666.00,43745.00,31955.00,14309.00,19785.00,25864.00,9471.00,0
70.00,63.00,103.00,150690.00,14877.00,3795.00,3328.00,2292.00,4455.00,7051.00,1672.00,0
74.00,69.00,74.00,18823.00,6577.00,10996.00,5618.00,7642.00,30823.00,13718.00,9248.00,0
69.00,80.00,24.00,341908.00,33036.00,30789.00,16110.00,5032.00,51848.00,30502.00,13219.00,0
90.00,63.00,53.00,8588.00,4716.00,3320.00,8459.00,15884.00,38632.00,7068.00,7283.00,0
90.00,60.00,87.00,256616.00,94368.00,9804.00,20195.00,21725.00,26785.00,32747.00,10344.00,0
77.00,61.00,89.00,22853.00,28961.00,15257.00,12957.00,9137.00,15402.00,45940.00,4478.00,0
81.00,57.00,-40.00,8661.00,9095.00,13028.00,14136.00,19006.00,37738.00,27378.00,12102.00,0
70.00,57.00,11.00,91553.00,23931.00,4921.00,3249.00,2296.00,21990.00,7514.00,2779.00,0
77.00,60.00,-20.00,580030.00,148325.00,74965.00,13663.00,35966.00,100939.00,27601.00,11601.00,0
84.00,51.00,-33.00,130837.00,14436.00,2265.00,4228.00,2396.00,17168.00,6475.00,4698.00,0
75.00,43.00,10.00,336749.00,98427.00,5398.00,18977.00,14124.00,33811.00,57032.00,14227.00,0
77.00,48.00,108.00,49279.00,28636.00,10777.00,18745.00,11151.00,53241.00,75219.00,6417.00,0
84.00,43.00,45.00,95437.00,10987.00,2892.00,1337.00,1401.00,16244.00,12615.00,3145.00,0
94.00,43.00,25.00,123433.00,5574.00,1187.00,12653.00,7270.00,58306.00,20809.00,12424.00,0
100.00,44.00,74.00,71080.00,19794.00,7458.00,2177.00,19058.00,16638.00,16289.00,14815.00,0
100.00,41.00,37.00,74424.00,17236.00,15576.00,4886.00,22499.00,42571.00,70116.00,15802.00,0
100.00,47.00,-156.00,58860.00,37401.00,16918.00,21404.00,26403.00,59084.00,34219.00,16582.00,0
75.00,53.00,-12.00,90015.00,79586.00,8334.00,43916.00,21724.00,21729.00,20178.00,12945.00,0
88.00,56.00,68.00,8750.00,7072.00,6765.00,18077.00,6611.00,90733.00,35734.00,33128.00,0
81.00,60.00,44.00,201217.00,6587.00,1702.00,2628.00,1257.00,6095.00,2097.00,4106.00,0
88.00,51.00,92.00,4210.00,17350.00,3735.00,5612.00,8083.00,47956.00,15865.00,46190.00,0
100.00,57.00,42.00,28452.00,1945.00,20942.00,22248.00,10248.00,44225.00,33784.00,16394.00,0
87.00,56.00,109.00,234771.00,36139.00,6234.00,6563.00,13457.00,15790.00,56181.00,10461.00,0
90.00,56.00,43.00,15374.00,12260.00,6754.00,15641.00,22124.00,30405.00,6331.00,10828.00,0
80.00,67.00,138.00,2290.00,10386.00,11038.00,6222.00,13794.00,15173.00,9627.00,6077.00,0
83.00,60.00,37.00,180405.00,10058.00,6596.00,8617.00,8674.00,28922.00,20891.00,10480.00,0
77.00,63.00,20.00,91061.00,25916.00,8048.00,2298.00,3602.00,6460.00,4609.00,4987.00,0
80.00,53.00,5.00,2444.00,31376.00,5928.00,4537.00,18689.00,53420.00,9841.00,9840.00,0
75.00,51.00,33.00,226325.00,38577.00,8621.00,25102.00,27438.00,16737.00,25635.00,11386.00,0
64.00,44.00,-89.00,118368.00,81821.00,12732.00,7451.00,11768.00,33964.00,13513.00,23044.00,0
75.00,38.00,144.00,68646.00,72933.00,5920.00,14240.00,11564.00,54291.00,37361.00,13864.00,0
66.00,47.00,43.00,78277.00,51955.00,6472.00,16330.00,6305.00,35029.00,34467.00,15218.00,0
69.00,38.00,-197.00,242073.00,136113.00,13608.00,31306.00,21984.00,67949.00,23511.00,18555.00,0
77.00,48.00,18.00,191409.00,35892.00,13636.00,30246.00,6434.00,61067.00,27190.00,9597.00,0
81.00,50.00,58.00,5247.00,19363.00,4172.00,6989.00,4894.00,39731.00,48295.00,22841.00,0
87.00,44.00,-100.00,116823.00,56636.00,7451.00,15046.00,21773.00,62067.00,48305.00,17925.00,0
77.00,44.00,-57.00,394683.00,87005.00,1813.00,14702.00,3258.00,10747.00,23429.00,7630.00,0
69.00,40.00,20.00,103090.00,121688.00,29001.00,20341.00,15391.00,51655.00,17536.00,24347.00,0
56.00,43.00,85.00,324348.00,139729.00,20064.00,26408.00,10331.00,47122.00,64328.00,7892.00,0
57.00,51.00,259.00,19068.00,13035.00,7706.00,16304.00,12924.00,41988.00,47299.00,12807.00,0
60.00,43.00,11.00,306695.00,63394.00,2697.00,3011.00,6966.00,8479.00,10947.00,3731.00,0
57.00,38.00,-17.00,797316.00,27368.00,5775.00,2484.00,19576.00,9637.00,12103.00,3229.00,0
60.00,40.00,86.00,41953.00,55404.00,14562.00,10602.00,6794.00,22837.00,19045.00,23343.00,0
54.00,40.00,341.00,35567.00,29703.00,8135.00,12382.00,15414.00,27324.00,13682.00,14977.00,0
60.00,43.00,-8.00,147162.00,17452.00,1902.00,774.00,1710.00,4701.00,1915.00,1787.00,0
63.00,48.00,114.00,238338.00,84260.00,25800.00,22647.00,23783.00,59936.00,19720.00,29906.00,0
69.00,48.00,58.00,5290.00,17561.00,8723.00,6946.00,4450.00,27686.00,29290.00,10289.00,0
75.00,44.00,3.00,10372.00,19895.00,2260.00,10275.00,18461.00,27622.00,37094.00,13300.00,0
88.00,48.00,51.00,8669.00,9611.00,3755.00,2976.00,9852.00,24591.00,15186.00,6985.00,0
84.00,53.00,54.00,158064.00,49690.00,26428.00,6891.00,4899.00,24021.00,13308.00,8286.00,0
87.00,57.00,49.00,5655.00,3495.00,8717.00,13995.00,12292.00,23727.00,18075.00,12990.00,0
70.00,53.00,42.00,453092.00,42420.00,4002.00,1224.00,2331.00,5716.00,8466.00,1175.00,0
67.00,57.00,12.00,7071.00,13836.00,6204.00,8102.00,5014.00,30012.00,67918.00,16944.00,0
66.00,60.00,101.00,189432.00,93096.00,56068.00,13748.00,18651.00,31468.00,39327.00,14499.00,0
60.00,61.00,-33.00,12813.00,19064.00,20174.00,12237.00,10252.00,19668.00,31685.00,32072.00,0
70.00,80.00,108.00,356574.00,28199.00,55720.00,32961.00,8058.00,63705.00,50383.00,41135.00,0
54.00,74.00,-39.00,498323.00,111289.00,6538.00,12000.00,6092.00,16017.00,21058.00,5202.00,0
63.00,53.00,40.00,343853.00,103026.00,6198.00,4588.00,21356.00,69280.00,54032.00,14112.00,0
57.00,50.00,53.00,349601.00,104400.00,25953.00,43163.00,25130.00,31417.00,84169.00,14154.00,0
51.00,40.00,72.00,354627.00,30185.00,12524.00,3197.00,9053.00,13299.00,21645.00,3046.00,0
67.00,43.00,-45.00,564242.00,140222.00,31154.00,32135.00,30095.00,167909.00,53741.00,18512.00,0
51.00,64.00,327.00,655645.00,90881.00,51657.00,12105.00,10240.00,12386.00,17857.00,12219.00,0
48.00,64.00,40.00,162741.00,14524.00,8462.00,1697.00,3479.00,3596.00,2617.00,3273.00,0
54.00,67.00,-25.00,127555.00,44482.00,21549.00,36369.00,35485.00,60862.00,45573.00,47922.00,0
40.00,66.00,153.00,621932.00,119673.00,18490.00,9414.00,16178.00,18829.00,17780.00,9739.00,0
38.00,64.00,200.00,2521371.00,433788.00,228893.00,44669.00,108535.00,44725.00,117066.00,34900.00,0
38.00,75.00,121.00,482325.00,6062.00,5419.00,8736.00,1904.00,3279.00,7686.00,1367.00,0
21.00,70.00,140.00,2197150.00,310845.00,78556.00,32552.00,23904.00,29143.00,122673.00,32799.00,0
